id,text,name,scale,zipcodes,code
109635-departements-du-cher-et-de-lindre,Départements du Cher et de l'Indre,Départements du Cher et de l'Indre,Ad-hoc,,CHIN
109642-departements-du-doubs-et-du-territoire-de-belfort,Départements du Doubs et du Territoire de Belfort,Départements du Doubs et du Territoire de Belfort,Ad-hoc,,DOBE
109650-departements-du-maine-et-loire-et-de-la-sarthe,Départements du Maine-et-Loire et de la Sarthe,Départements du Maine-et-Loire et de la Sarthe,Ad-hoc,,MLSA
109649-departements-du-nord-du-pas-de-calais-et-de-la-somme,"Départements du Nord, du Pas-de-Calais et de la Somme","Départements du Nord, du Pas-de-Calais et de la Somme",Ad-hoc,,NOPC
109973-dieppe-pays-normand,DIEPPE PAYS NORMAND ,DIEPPE PAYS NORMAND ,Ad-hoc,,PETR-NO19
110414-doubs-horloger-parc-naturel-regional,DOUBS HORLOGER (parc naturel régional),DOUBS HORLOGER (parc naturel régional),Ad-hoc,,Doubs
110369-ensemble-des-massifs-francais,Ensemble des massifs français,Ensemble des massifs français,Ad-hoc,,massifs français
110395-epci-de-moins-de-15000-habitants,EPCI de moins de 15.000 habitants,EPCI de moins de 15.000 habitants,Ad-hoc,,EPCI_15000
109678-ept-est-ensemble-grand-paris-grand-est-paris-est-marne-et-bois,"EPT Est Ensemble, Grand Paris Grand Est, Paris Est Marne et Bois","EPT Est Ensemble, Grand Paris Grand Est, Paris Est Marne et Bois",Ad-hoc,,3EPT
109032-espaces-urbains-structurants-du-grand-est,Espaces Urbains Structurants du Grand Est,Espaces Urbains Structurants du Grand Est,Ad-hoc,,EUSGE
109027-est-ensemble-ept,Est Ensemble (EPT),Est Ensemble (EPT),Ad-hoc,,Est Ensemble EPT
109955-federation-chataigneraie-limousine,FEDERATION CHATAIGNERAIE LIMOUSINE,FEDERATION CHATAIGNERAIE LIMOUSINE,Ad-hoc,,PETR-NA34
109722-foret-dorient-parc-naturel-regional,FORET d'ORIENT (Parc naturel régional),FORET d'ORIENT (Parc naturel régional),Ad-hoc,,FORET ORIENT PNR
108995-france-hors-corse-et-outre-mer,France hors Corse et Outre-mer,France hors Corse et Outre-mer,Ad-hoc,,France restreint
108989-france-metropolitaine,France métropolitaine,France métropolitaine,Ad-hoc,,FRA-MET
109016-franche-comte,Franche-Comté,Franche-Comté,Ad-hoc,,FRCO
110185-gal-7-vallees-ternois,GAL 7 Vallées-Ternois,GAL 7 Vallées-Ternois,Ad-hoc,,GAL-1201
110043-gal-adour-chalosse-tursan,GAL Adour Chalosse Tursan,GAL Adour Chalosse Tursan,Ad-hoc,,GAL-211
110044-gal-adour-landes-oceanes,GAL Adour Landes Océanes,GAL Adour Landes Océanes,Ad-hoc,,GAL-212
110047-gal-agenais,GAL Agenais,GAL Agenais,Ad-hoc,,GAL-215
110085-gal-agglo-du-pays-de-dreux,GAL Agglo du Pays de Dreux,GAL Agglo du Pays de Dreux,Ad-hoc,,GAL-505
110362-gal-agglo-gal,GAL Agglo-GAL,GAL Agglo-GAL,Ad-hoc,,GAL-2505
110163-gal-albigeois-et-bastides,GAL Albigeois et Bastides,GAL Albigeois et Bastides,Ad-hoc,,GAL-1101
110247-gal-alpes-et-prealpes-dazur,GAL Alpes et Préalpes d'Azur,GAL Alpes et Préalpes d'Azur,Ad-hoc,,GAL-1701
110260-gal-alpes-sud-isere,GAL Alpes Sud Isère,GAL Alpes Sud Isère,Ad-hoc,,GAL-1801
110312-gal-angoumois,GAL Angoumois,GAL Angoumois,Ad-hoc,,GAL-2001
110219-gal-anjou-bleu,GAL Anjou Bleu,GAL Anjou Bleu,Ad-hoc,,GAL-1509
110339-gal-arbois-poligny-salins-cur-du-jura,GAL Arbois Poligny Salins Cœur du Jura,GAL Arbois Poligny Salins Cœur du Jura,Ad-hoc,,GAL-2109
110262-gal-ardeche-3-centre-monts-meridionale,GAL Ardèche 3 (Centre - Monts - Méridionale),GAL Ardèche 3 (Centre - Monts - Méridionale),Ad-hoc,,GAL-1803
110263-gal-ardeche-3-centre-monts-meridionale,GAL Ardèche 3 (Centre - Monts - Méridionale),GAL Ardèche 3 (Centre - Monts - Méridionale),Ad-hoc,,GAL-183
110261-gal-ardeche-verte,GAL Ardèche verte,GAL Ardèche verte,Ad-hoc,,GAL-1802
110104-gal-argonne-ardennaise,GAL Argonne Ardennaise,GAL Argonne Ardennaise,Ad-hoc,,GAL-601
